Name,Label,Domain,Range,URI,Count,MVE,OE,Sparql-Template,Generator-Query-Template
channel,channel,owl:Thing,Broadcaster,http://dbpedia.org/ontology/channel,14597,what is the channel of <A>,what is the channel of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/channel> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/channel> [] . ?a a <http://dbpedia.org/ontology/Place> }
city,city,owl:Thing,City,http://dbpedia.org/ontology/city,97447,what is the city of <A>,what is the city of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/city> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/city> [] . ?a a <http://dbpedia.org/ontology/Place> }
class,class,owl:Thing,owl:Thing,http://dbpedia.org/ontology/class,173511,what is the class of <A>,what is the class of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/class> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/class> [] . ?a a <http://dbpedia.org/ontology/Place> }
classification,classification,owl:Thing,xsd:string,http://dbpedia.org/ontology/classification,5577,what is the classification of <A>,what is the classification of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/classification> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/classification> [] . ?a a <http://dbpedia.org/ontology/Place> }
closingDate,closing date,owl:Thing,xsd:date,http://dbpedia.org/ontology/closingDate,3788,what is the closing date of <A>,what is the closing date of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/closingDate> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/closingDate> [] . ?a a <http://dbpedia.org/ontology/Place> }
closingYear,closing year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/closingYear,8207,what is the closing year of <A>,what is the closing year of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/closingYear> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/closingYear> [] . ?a a <http://dbpedia.org/ontology/Place> }
coach,coach,owl:Thing,Person,http://dbpedia.org/ontology/coach,8903,who is the coach of <A>,who is the coach of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/coach> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/coach> [] . ?a a <http://dbpedia.org/ontology/Place> }
code,code,owl:Thing,xsd:string,http://dbpedia.org/ontology/code,1150,what is the code of <A>,what is the code of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/code> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/code> [] . ?a a <http://dbpedia.org/ontology/Place> }
colour,colour,owl:Thing,Colour,http://dbpedia.org/ontology/colour,11072,what is the colour of <A>,what is the colour of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/colour> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/colour> [] . ?a a <http://dbpedia.org/ontology/Place> }
colourHexCode,colour hex code,owl:Thing,xsd:string,http://dbpedia.org/ontology/colourHexCode,824,what is the colour hex code of <A>,what is the colour hex code of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/colourHexCode> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/colourHexCode> [] . ?a a <http://dbpedia.org/ontology/Place> }
colourName,colour name,owl:Thing,rdf:langString,http://dbpedia.org/ontology/colourName,8965,what is the colour name of <A>,what is the colour name of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/colourName> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/colourName> [] . ?a a <http://dbpedia.org/ontology/Place> }
commander,commander,owl:Thing,Person,http://dbpedia.org/ontology/commander,16618,who is the commander of <A>,who is the commander of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/commander> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/commander> [] . ?a a <http://dbpedia.org/ontology/Place> }
committee,committee,owl:Thing,xsd:string,http://dbpedia.org/ontology/committee,660,what is the committee of <A>,what is the committee of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/committee> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/committee> [] . ?a a <http://dbpedia.org/ontology/Place> }
commonName,common name,owl:Thing,rdf:langString,http://dbpedia.org/ontology/commonName,165,what is the common name of <A>,what is the common name of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/commonName> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/commonName> [] . ?a a <http://dbpedia.org/ontology/Place> }
company,company,owl:Thing,Organisation,http://dbpedia.org/ontology/company,21710,what is the company of <A>,what is the company of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/company> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/company> [] . ?a a <http://dbpedia.org/ontology/Place> }
connotation,connotation,owl:Thing,owl:Thing,http://dbpedia.org/ontology/connotation,17,what is the connotation of <A>,what is the connotation of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/connotation> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/connotation> [] . ?a a <http://dbpedia.org/ontology/Place> }
constituencyDistrict,constituency district,owl:Thing,PopulatedPlace,http://dbpedia.org/ontology/constituencyDistrict,46420,what is the constituency district of <A>,what is the constituency district of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/constituencyDistrict> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/constituencyDistrict> [] . ?a a <http://dbpedia.org/ontology/Place> }
cosparId,COSPAR id,owl:Thing,xsd:string,http://dbpedia.org/ontology/cosparId,2582,what is the COSPAR id of <A>,what is the COSPAR id of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/cosparId> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/cosparId> [] . ?a a <http://dbpedia.org/ontology/Place> }
cost,cost,owl:Thing,Currency,http://dbpedia.org/ontology/cost,6791,what is the cost of <A>,what is the cost of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/cost> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/cost> [] . ?a a <http://dbpedia.org/ontology/Place> }
country,country,owl:Thing,Country,http://dbpedia.org/ontology/country,748190,what is the country of <A>,what is the country of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/country> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/country> [] . ?a a <http://dbpedia.org/ontology/Place> }
countryCode,country code,Place,xsd:string,http://dbpedia.org/ontology/countryCode,303,what is the country code of <A>,what is the country code of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/countryCode> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/countryCode> [] . ?a a <http://dbpedia.org/ontology/Place> }
county,county,owl:Thing,PopulatedPlace,http://dbpedia.org/ontology/county,9109,what is the county of <A>,what is the county of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/county> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/county> [] . ?a a <http://dbpedia.org/ontology/Place> }
cpu,CPU,owl:Thing,owl:Thing,http://dbpedia.org/ontology/cpu,980,what is the CPU of <A>,what is the CPU of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/cpu> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/cpu> [] . ?a a <http://dbpedia.org/ontology/Place> }
creator,creator (agent),owl:Thing,Agent,http://dbpedia.org/ontology/creator,21855,what is the creator (agent) of <A>,what is the creator (agent) of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/creator> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/creator> [] . ?a a <http://dbpedia.org/ontology/Place> }
cuisine,cuisine,owl:Thing,xsd:string,http://dbpedia.org/ontology/cuisine,1662,what is the cuisine of <A>,what is the cuisine of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/cuisine> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/cuisine> [] . ?a a <http://dbpedia.org/ontology/Place> }
currency,currency,owl:Thing,Currency,http://dbpedia.org/ontology/currency,1534,what is the currency of <A>,what is the currency of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/currency> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/currency> [] . ?a a <http://dbpedia.org/ontology/Place> }
currencyCode,currency code,Place,xsd:string,http://dbpedia.org/ontology/currencyCode,259,what is the currency code of <A>,what is the currency code of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/currencyCode> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/currencyCode> [] . ?a a <http://dbpedia.org/ontology/Place> }
currentStatus,current status,owl:Thing,xsd:string,http://dbpedia.org/ontology/currentStatus,222,what is the current status of <A>,what is the current status of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/currentStatus> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/currentStatus> [] . ?a a <http://dbpedia.org/ontology/Place> }
date,date,owl:Thing,xsd:date,http://dbpedia.org/ontology/date,22533,what is the date of <A>,what is the date of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/date> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/date> [] . ?a a <http://dbpedia.org/ontology/Place> }
dateOfAbandonment,date of abandonment,owl:Thing,xsd:date,http://dbpedia.org/ontology/dateOfAbandonment,273,what is the date of abandonment of <A>,what is the date of abandonment of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/dateOfAbandonment> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/dateOfAbandonment> [] . ?a a <http://dbpedia.org/ontology/Place> }
deliveryDate,delivery date,owl:Thing,xsd:date,http://dbpedia.org/ontology/deliveryDate,39,what is the delivery date of <A>,what is the delivery date of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/deliveryDate> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/deliveryDate> [] . ?a a <http://dbpedia.org/ontology/Place> }
demonym,demonym,owl:Thing,rdf:langString,http://dbpedia.org/ontology/demonym,6994,what is the demonym of <A>,what is the demonym of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/demonym> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/demonym> [] . ?a a <http://dbpedia.org/ontology/Place> }
density,density,owl:Thing,Density,http://dbpedia.org/ontology/density,125,what is the density of <A>,what is the density of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/density> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/density> [] . ?a a <http://dbpedia.org/ontology/Place> }
depictionDescription,depiction description (caption),owl:Thing,rdf:langString,http://dbpedia.org/ontology/depictionDescription,3385,what is the depiction description (caption) of <A>,what is the depiction description (caption) of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/depictionDescription> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/depictionDescription> [] . ?a a <http://dbpedia.org/ontology/Place> }
depth,depth,Place,Length,http://dbpedia.org/ontology/depth,1399,what is the depth of <A>,what is the depth of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/depth> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/depth> [] . ?a a <http://dbpedia.org/ontology/Place> }
deputy,deputy,owl:Thing,Person,http://dbpedia.org/ontology/deputy,3631,who is the deputy of <A>,who is the deputy of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/deputy> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/deputy> [] . ?a a <http://dbpedia.org/ontology/Place> }
description,description,owl:Thing,rdf:langString,http://dbpedia.org/ontology/description,12947,what is the description of <A>,what is the description of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/description> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/description> [] . ?a a <http://dbpedia.org/ontology/Place> }
designCompany,designer company,owl:Thing,Company,http://dbpedia.org/ontology/designCompany,1775,what is the designer company of <A>,what is the designer company of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/designCompany> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/designCompany> [] . ?a a <http://dbpedia.org/ontology/Place> }
designer,designer,owl:Thing,Person,http://dbpedia.org/ontology/designer,10380,who is the designer of <A>,who is the designer of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/designer> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/designer> [] . ?a a <http://dbpedia.org/ontology/Place> }
